,name,rating,distance,delivery,pickup,American,Bakeries,Cafes,Chinese,Fast Food,Pizza,Street Vendors
281,Johnny Mango World Cafe & Bar,7.0,3331.8069896421925,1,0,0,0,0,0,0,0,0
282,Arsenal Cider House,10.0,3835.07650602612,0,0,0,0,0,0,0,0,0
283,McDonald's,2.0,5362.7961589618035,1,0,0,0,0,0,1,0,0
284,Herb N’ Kitchen,10.0,3405.088953455933,0,0,0,0,0,0,0,0,0
285,Totopo Cocina & Cantina,9.0,8992.795949543637,1,1,0,0,0,0,0,0,0
286,Shugga Hi Bakery and Cafe,9.0,5748.871421074002,1,1,0,0,1,0,0,0,0
287,2 in One Cafe,6.0,5214.556609260793,1,1,0,0,0,0,0,0,0
288,Hae Woon Dae,6.0,9893.43565559081,1,0,0,0,0,0,0,0,0
289,Taquiza,9.0,16174.595124363987,1,1,0,0,0,0,0,0,0
290,Zaragoza Mexican Deli & Grocery,8.0,2959.9776315229014,0,0,0,0,0,0,0,0,0
291,New York Super Subs - Squirrel Hill,8.0,4863.022723532585,1,1,0,0,0,0,0,0,0
292,Mama's On The Half Shell,8.0,4377.037932366453,1,1,0,0,0,0,0,0,0
293,Origini Italian Market,9.0,2627.761885630662,1,0,0,0,0,0,0,0,0
294,Mr. E's Late Nite,9.0,3841.4033620091727,1,1,0,0,0,0,0,0,0
295,Elixr Coffee,9.0,2595.230577049397,0,0,0,0,1,0,0,0,0
296,9Zaab,8.0,2932.3702409631637,1,1,0,0,0,0,0,0,0
297,RocknRoll Sushi,7.0,2245.3699787270684,1,1,0,0,0,0,0,0,0
298,Perrystead Dairy,10.0,3393.288428455395,0,0,0,0,0,0,0,0,0
299,Cafe Con Leche,8.0,5326.976612328237,1,1,0,0,0,0,0,0,0
300,Alexandria Pizza & Grill,4.0,699.2210412074456,1,1,0,0,0,0,0,1,0
301,2Fifty Texas BBQ,9.0,47758.91315982873,1,0,0,0,0,0,0,0,0
302,The Key Club,8.0,5321.782232338606,0,0,0,0,0,0,0,0,0
303,Radiator Whiskey,9.0,1870.681705461696,1,0,1,0,0,0,0,0,0
304,Potbelly Sandwich Shop,6.0,2176.11425131175,1,1,0,0,0,0,0,0,0
305,Taqueria Jalisco,9.0,4928.131926670471,1,0,0,0,0,0,0,0,0
306,The Bop Shop,9.0,17908.42401584592,1,1,0,0,0,0,0,0,0
307,Ohio Pies,10.0,9071.662125856152,0,0,0,0,0,0,0,0,0
308,Peter's Chicken & Seafood,8.0,7618.017505790016,1,0,0,0,0,0,0,0,0
309,Great Taste Chinese Restaurant,6.0,3327.345880294622,1,1,0,0,0,1,0,0,0
310,Fireproof Restaurant,8.0,3184.4033568526506,1,1,0,0,0,0,0,0,0
311,Mott St,8.0,886.5031985484202,1,1,0,0,0,0,0,0,0
312,Cibao Fried Chicken Restaurant,8.0,1255.6709989040812,0,0,0,0,0,0,0,0,0
313,Raising Cane's,8.0,20760.96704760345,1,0,0,0,0,0,0,0,0
314,The Haunted House Restaurant,5.0,10163.800203440167,1,1,1,0,0,0,0,0,0
315,Bricco,8.0,2165.9714824407974,1,0,0,0,0,0,0,0,0
316,The Budlong Hot Chicken,8.0,2454.974952340024,1,1,0,0,0,0,0,0,0
317,Dior Cafe,8.0,11684.515291518635,1,0,0,0,1,0,0,0,0
318,Empanada Lady,9.0,2596.6807241652,0,0,0,0,0,0,0,0,1
319,Zo Greek,9.0,4917.917951113662,1,1,0,0,0,0,0,0,0
